Customer Reference,Quantity,Description,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Mouser Part Number
microprocessor,1,FEATHER M4 EXPRESS ATSAMD51J19,Adafruit Industries LLC,3857,1528-2648-ND,485-3857
microprocessor,1,FEATHER M0 EXPRESS ATSAMD21G18,Adafruit Industries LLC,3403,1528-2126-ND,485-3403
display,1,ADAFRUIT FEATHERWING OLED - 128X,Adafruit Industries LLC,4650,1528-4650-ND,
display,1,FEATHERWING OLED - 128X32 OLED A,Adafruit Industries LLC,2900,1528-1547-ND,485-2900
,,,,,,
C1,1,CAP ALUM 10UF 20% 50V RADIAL,Panasonic Electronic Components,ECE-A1HKS100,P997-ND,667-ECE-A1HKS100
C2 ~ C5,4,CAP CER 0.1UF 50V X7R RADIAL,KEMET,C322C104K5R5TA,399-4329-ND,80-C322C104K5R
D1,1,DIODE GEN PURP 50V 1A DO41,ON Semiconductor,1N4001G,1N4001GOS-ND,863-1N4001G
R1 ~ R8,8,RES 56K OHM 0.4W 1% AXIAL,Vishay Beyschlag/Draloric/BC Components,SFR2500005602FR500,PPC56.0KYCT-ND,594-SFR2500005602FR5
R9 ~ R16,8,RES 33K OHM 0.4W 1% AXIAL,Vishay Beyschlag/Draloric/BC Components,SFR2500003302FR500,56-SFR2500003302FR500CT-ND,594-5043ED33K00F
R17 ~ R20,4,RES 560 OHM 1/2W 1% AXIAL,Vishay Beyschlag/Draloric/BC Components,SFR16S0005600FR500,BC5258CT-ND,594-SFR16S0005600FR5
"U1, U2",2,IC OPAMP GP 4 CIRCUIT 14DIP,Texas Instruments,LM324KN,296-18451-5-ND,595-LM324KN
,,,,,,
digital board,1,FEATHERWING DOUBLER - PROTOTYPIN,Adafruit Industries LLC,2890,1528-1535-ND,485-2890
analog board,1,BREADBOARD GENERAL PURPOSE PTH,Adafruit Industries LLC,1609,1528-1195-ND,485-1609
,,,,,,
female connectors,4,CONN RCPT 5POS 0.1 GOLD PCB R/A,Samtec Inc.,SSW-105-02-G-S-RA,SAM1225-05-ND,
female connectors,4,CONN RCPT 4POS 0.1 GOLD PCB R/A,Samtec Inc.,SSW-104-02-G-S-RA,SAM1225-04-ND,
jumper housing,1,1X4POS 10PK 2.54MM CONN HOUSING,Pololu Corporation,1903,2183-1903-ND,
jumper housing,1,1X5POS 10PK 2.54MM CONN HOUSING,Pololu Corporation,1904,2183-1904-ND,
male jumpers,1,"JMPR WIRE 50PC 10CLR ASSTD MM 6""",Pololu Corporation,1802,2183-1802-ND,
,,,,,,
male connectors,4,HORIZONTAL PIN HEADER GOLD RIGHT ANGLE,Harwin,M20-9960545,952-2246-ND,855-M20-9960545
male connectors,4,HORIZONTAL PIN HEADER GOLD RIGHT ANGLE,Harwin,M20-9960445,952-3286-ND,855-M20-9960445
jumper housing,4,5 PIN SIL HOUSING,Harwin,M20-1060500,952-2230-ND,855-M20-1060500
jumper housing,4,4 PIN SIL HOUSING,Harwin,M20-1060400,952-2229-ND,855-M20-1060400
female jumpers,1,Female/Female Raw Custom Jumper Wires,Adafruit Industries LLC,3141,1528-2176-ND,485-3141
female jumpers,1,Assorted 26 AWG Jumper Lead Socket to Socket,Pololu Corporation,1800,2183-1800-ND,
,,,,,,
banana jacks,4,CONN BANANA JACK SLDR TABS WHITE,Cinch Connectivity Solutions Johnson,108-0901-001,J150-ND,530-108-0901-1
banana jacks,4,CONN BANANA JACK SOLDER TABS RED,Cinch Connectivity Solutions Johnson,108-0902-001,J151-ND,530-108-0902-1
3.5mm jacks,8,CONN JACK MONO 3.5MM PNL MNT,Schurter Inc.,4832.2211,486-3418-ND,693-4832.2211
